Polluted element,Type of pollution,Georgia_Columbus_2016,Georgia_Redmond_2017,Minnesota_Hastings_2022,Minnesota_Salem_2018,Minnesota_Washington_2017,Oregon_Albany_2022,Oregon_Rochester_2016,Average
Air,,41.81,48.20,17.14,-25.19,59.07,-10.60,-8.21,17.46
,  Solid Waste,83.90,51.27,24.49,-64.26,-9.85,-49.71,-86.71,-7.27
,  Surface water,-42.10,47.73,17.15,61.27,97.88,74.10,33.01,41.29
,  Thermal,83.63,45.60,9.77,-72.58,89.17,-56.18,29.06,18.35
Soil,,83.83,8.49,20.21,63.57,22.89,35.37,-46.21,26.88
,  Inferior Irrigation,86.82,51.59,23.19,62.30,-21.02,-50.39,-88.23,9.18
,  Noise,82.02,-81.51,11.52,60.10,94.94,74.46,-94.52,21.00
,  Thermal,82.65,55.38,25.93,68.31,-5.25,82.03,44.11,50.45
Water,,1.23,5.69,19.20,-23.05,18.20,-10.03,-47.42,-5.17
,  Chemical,-42.49,-78.30,20.83,-67.21,98.01,-52.63,-90.31,-30.30
,  Light,-44.38,47.78,10.99,59.58,-35.88,-55.52,33.90,2.35
,  Urban Activities,90.56,47.59,25.77,-61.53,-7.52,78.06,-85.84,12.44
Average,,42.29,20.79,18.85,5.11,33.39,4.91,-33.95,13.06
,  ,42.29,20.79,18.85,5.11,33.39,4.91,-33.95,13.06
