Polluted element,Type of pollution,Illinois_Boulder City,Illinois_Chicago,Illinois_Las Vegas,Nevada_Reno,Nevada_Springfield
Air,Inferior Irrigation,-29.71,12.16,63.37,-49.25,-93.76
,Oxygen-depletion,-3.03,27.93,74.30,90.69,49.14
,Thermal,-17.92,20.08,69.94,82.92,42.71
Soil,Light,-19.56,20.52,-62.31,-47.02,38.83
,Oxygen-depletion,91.68,-0.53,58.85,-50.66,35.45
,Surface water,-9.00,24.29,-55.21,87.57,48.69
Water,Inorganic Fertilizers,-24.35,17.58,-64.31,78.38,38.25
,Noise,-10.34,24.62,71.18,-50.11,46.97
,Surface water,91.04,0.63,58.13,77.39,-94.61
Average,,7.65,16.36,23.77,24.43,12.41
