Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Workshop,Q2,May,0.3
Production,Workshop,Q1,June,1.3
Production,Workshop,Q4,March,4.81
Production,Workshop,Q2,January,5.84
Production,Workshop,Q1,February,6.94
Production,Workshop,Q4,December,13.0
Production,Workshop,Q2,October,17.73
Production,Workshop,Q1,November,18.01
Production,Workshop,Q4,May,19.45
Residential,Factory,Q2,May,19.3
Residential,Factory,Q1,June,23.89
Residential,Factory,Q4,March,25.54
Residential,Factory,Q2,January,26.73
Residential,Factory,Q1,February,29.74
Residential,Factory,Q4,December,33.19
Residential,Factory,Q2,October,35.2
Residential,Factory,Q1,November,36.7
Residential,Factory,Q4,May,43.24
Production,House,Q2,May,48.8
Production,House,Q1,June,50.95
Production,House,Q4,March,59.94
Production,House,Q2,January,68.15
Production,House,Q1,February,72.74
Production,House,Q4,December,73.21
Production,House,Q2,October,74.84
Production,House,Q1,November,75.51
Production,House,Q4,May,74.82
Residential,Apartment,Q2,May,75.6
Residential,Apartment,Q1,June,78.68
Residential,Apartment,Q4,March,75.43
Residential,Apartment,Q2,January,81.09
Residential,Apartment,Q1,February,83.59
Residential,Apartment,Q4,December,84.44
Residential,Apartment,Q2,October,90.21
Residential,Apartment,Q1,November,94.04
Residential,Apartment,Q4,May,95.05
