Polluted element,Type of pollution,Illinois_Chicago,Illinois_Salem,Illinois_Springfield,Oregon_Champaign,Oregon_Portland,Average
Air,Inorganic Fertilizers,24.62,-16.42,56.98,44.42,-62.79,9.36
,Surface water,-43.25,-18.08,-4.04,-88.80,-59.34,-42.70
,Thermal,12.31,71.79,57.12,-87.57,72.35,25.20
,Urban Activities,30.99,-11.54,55.94,-81.07,-51.21,-11.38
Soil,Groundwater,-84.35,34.11,-67.98,-21.40,78.33,-12.26
,Inferior Irrigation,-96.25,-7.81,59.82,-82.47,-49.22,-35.19
,Noise,12.27,-22.03,57.86,42.79,-56.11,6.96
,Solid Waste,26.30,-16.48,-67.35,-85.64,76.29,-13.38
Water,Chemical,-43.70,-6.62,-69.34,-85.87,8.25,-39.45
,Industrial,30.48,-13.71,62.69,44.58,76.13,40.03
,Light,18.24,-4.32,-70.28,-85.58,72.10,-13.97
,Oxygen-depletion,8.28,99.88,-75.33,39.82,-57.58,3.01
Average,,-8.67,7.40,-0.33,-37.23,3.93,-6.98
