Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,School,Q2,June,0.57
Service,School,Q3,May,1.27
Service,School,Q4,July,2.26
Service,School,Q2,September,3.05
Service,School,Q3,December,3.16
Service,School,Q4,November,7.87
Service,School,Q2,October,8.59
Service,School,Q3,June,8.15
Service,School,Q4,May,11.09
Residential,Library,Q2,June,13.08
Residential,Library,Q3,May,14.45
Residential,Library,Q4,July,13.21
Residential,Library,Q2,September,17.84
Residential,Library,Q3,December,19.03
Residential,Library,Q4,November,21.3
Residential,Library,Q2,October,21.28
Residential,Library,Q3,June,23.51
Residential,Library,Q4,May,24.48
Production,Apartment,Q2,June,23.55
Production,Apartment,Q3,May,23.59
Production,Apartment,Q4,July,29.29
Production,Apartment,Q2,September,30.52
Production,Apartment,Q3,December,31.34
Production,Apartment,Q4,November,29.75
Production,Apartment,Q2,October,34.47
Production,Apartment,Q3,June,37.31
Production,Apartment,Q4,May,38.06
Service,House,Q2,June,40.7
Service,House,Q3,May,41.67
Service,House,Q4,July,42.85
Service,House,Q2,September,41.24
Service,House,Q3,December,44.68
Service,House,Q4,November,45.13
Service,House,Q2,October,48.52
Service,House,Q3,June,48.95
Service,House,Q4,May,48.25
Residential,Hotel,Q2,June,50.7
Residential,Hotel,Q3,May,49.36
Residential,Hotel,Q4,July,59.19
Residential,Hotel,Q2,September,61.98
Residential,Hotel,Q3,December,62.31
Residential,Hotel,Q4,November,61.79
Residential,Hotel,Q2,October,64.12
Residential,Hotel,Q3,June,61.34
Residential,Hotel,Q4,May,66.69
Production,Factory,Q2,June,74.43
Production,Factory,Q3,May,75.97
Production,Factory,Q4,July,76.38
Production,Factory,Q2,September,77.18
Production,Factory,Q3,December,77.78
Production,Factory,Q4,November,74.16
Production,Factory,Q2,October,81.72
Production,Factory,Q3,June,82.35
Production,Factory,Q4,May,87.27
Service,Workshop,Q2,June,88.14
Service,Workshop,Q3,May,87.81
Service,Workshop,Q4,July,90.16
Service,Workshop,Q2,September,90.59
Service,Workshop,Q3,December,87.71
Service,Workshop,Q4,November,88.84
Service,Workshop,Q2,October,95.14
Service,Workshop,Q3,June,98.27
Service,Workshop,Q4,May,99.45
