Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2016,Beverage,Soda,258.73
Import,2016,Meat,Juice,899.12
Import,2016,Beverage,Chicken,869.3
Import,2016,Meat,Duck,615.44
Import,2021,Beverage,Soda,263.42
Import,2021,Meat,Juice,778.35
Import,2021,Beverage,Chicken,748.32
Import,2021,Meat,Duck,13.07
Import,2017,Beverage,Soda,717.55
Import,2017,Meat,Juice,113.86
Import,2017,Beverage,Chicken,691.49
Import,2017,Meat,Duck,20.43
Import,2016,Beverage,Soda,885.98
Import,2016,Meat,Juice,376.96
Import,2016,Beverage,Chicken,316.05
Import,2016,Meat,Duck,798.41
