Polluted element,Type of pollution,Georgia_Reno_2018,Georgia_Washington_2018,Minnesota_Columbus_2022,Minnesota_Rochester_2022,Nevada_Albany_2017,Nevada_Boulder City_2017,Nevada_Minneapolis_2017
Air,Chemical,35.43,-84.77,58.20,-53.35,99.12,6.43,-30.94
,Industrial,45.91,-78.41,65.86,-50.45,0.09,13.82,-25.49
,Inorganic Fertilizers,48.48,-73.67,70.15,-46.29,-95.28,20.95,-19.05
,Light,34.23,-90.96,58.18,-59.73,92.15,-0.28,-34.29
,Thermal,58.31,-69.38,83.73,-41.59,-96.11,27.97,-7.21
Soil,Inferior Irrigation,43.52,-79.68,66.68,-55.36,-0.35,10.64,-26.12
,Noise,55.15,-69.01,80.49,-41.32,-93.69,24.82,-8.34
,Surface water,60.04,-62.06,91.51,-35.50,-90.05,31.85,-4.35
,Thermal,36.36,-86.81,63.58,-54.68,98.90,4.53,-34.36
,Urban Activities,48.84,-74.41,70.00,-46.24,-97.38,19.54,-19.39
Water,Chemical,59.00,-64.12,90.92,-38.49,-91.68,30.52,-5.16
,Light,53.82,-75.19,76.51,-44.52,-96.14,20.45,-16.01
,Noise,35.03,-86.90,62.77,-55.17,97.38,2.78,-34.67
,Solid Waste,46.28,-75.94,68.87,-54.25,-97.35,18.80,-22.71
,Surface water,35.89,-81.00,65.10,-53.50,97.47,8.98,-28.57
