Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Temperature,31-40,2.48
2015,Wind,21-30,3.96
2015,Humidity,Storm,3.86
2015,Temperature,Breeze,2.55
2015,Wind,Calm,2.03
2015,Humidity,Medium,2.09
2015,Temperature,High,9.01
2015,Wind,31-40,10.99
2015,Humidity,21-30,9.95
2019,Temperature,31-40,12.39
2019,Wind,21-30,10.12
2019,Humidity,Storm,14.11
2019,Temperature,Breeze,15.27
2019,Wind,Calm,17.13
2019,Humidity,Medium,17.98
2019,Temperature,High,19.95
2019,Wind,31-40,20.7
2019,Humidity,21-30,21.05
2018,Temperature,31-40,20.63
2018,Wind,21-30,23.32
2018,Humidity,Storm,24.38
2018,Temperature,Breeze,24.86
2018,Wind,Calm,25.52
2018,Humidity,Medium,19.54
2018,Temperature,High,19.55
2018,Wind,31-40,22.72
2018,Humidity,21-30,17.25
