Quarter,Month,Culture_Concert,Culture_School,Service_Administration,Service_Library,Service_Museum,Minimum
Q1,February,63.95,27.19,29.29,2.57,79.04,2.57
,July,74.35,30.75,53.61,16.95,91.68,16.95
,November,65.43,29.62,44.21,9.15,89.36,9.15
Q3,August,74.20,32.11,48.82,14.03,91.95,14.03
,December,63.12,29.75,41.37,8.24,82.32,8.24
,March,77.02,32.35,59.62,18.12,96.44,18.12
Q4,February,74.22,30.61,56.95,17.59,93.23,17.59
,March,0.16,28.00,30.59,6.35,82.18,0.16
,September,71.02,28.52,47.35,8.34,89.80,8.34
Minimum,,0.16,27.19,29.29,2.57,79.04,0.16
