Polluted element,Type of pollution,Massachusetts_Lenox,Massachusetts_Reno,Nevada_Boston,Nevada_Boulder City
Air,,25.76,-2.59,-12.06,-28.24
,  Inferior Irrigation,-19.52,52.54,65.76,-93.25
,  Inorganic Fertilizers,100.00,48.43,-62.43,24.17
,  Light,-39.85,-87.30,-70.84,1.93
,  Noise,-9.22,-71.71,75.81,-91.50
,  Oxygen-depletion,97.38,45.07,-68.58,17.44
Soil,,31.50,-27.46,-34.46,-21.97
,  Groundwater,-1.81,-70.51,-45.08,-88.19
,  Industrial,-21.44,-77.70,-60.52,-96.45
,  Noise,96.87,38.27,-66.08,13.41
,  Solid Waste,99.06,47.32,-63.62,23.56
,  Thermal,-15.16,-74.69,63.00,37.80
Water,,-22.77,48.49,-60.72,2.16
,  Groundwater,-32.02,46.99,-64.23,22.13
,  Light,-16.38,52.00,-60.78,-92.60
,  Oxygen-depletion,-4.80,58.23,-47.93,39.02
,  Thermal,-36.71,38.20,-67.85,10.41
,  Urban Activities,-23.95,47.05,-62.81,31.84
Average,,11.50,6.15,-35.75,-16.02
,  ,11.50,6.15,-35.75,-16.02
