State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
Illinois,Champaign,2022,Soil,Solid Waste,-0.77
Illinois,Champaign,2022,Water,Inferior Irrigation,2.29
Illinois,Champaign,2022,Air,Oxygen-depletion,2.03
Illinois,Champaign,2022,Soil,Groundwater,4.79
Illinois,Champaign,2022,Water,Surface water,3.13
Illinois,Champaign,2022,Air,Chemical,6.64
Illinois,Champaign,2022,Soil,Thermal,8.84
Illinois,Champaign,2022,Water,Noise,8.8
Illinois,Champaign,2022,Air,Light,14.38
Illinois,Champaign,2022,Soil,Solid Waste,21.66
Illinois,Champaign,2022,Water,Inferior Irrigation,23.58
Illinois,Champaign,2022,Air,Oxygen-depletion,25.5
Florida,Springfield,2015,Soil,Solid Waste,26.64
Florida,Springfield,2015,Water,Inferior Irrigation,27.3
Florida,Springfield,2015,Air,Oxygen-depletion,26.19
Florida,Springfield,2015,Soil,Groundwater,32.58
Florida,Springfield,2015,Water,Surface water,33.32
Florida,Springfield,2015,Air,Chemical,34.35
Florida,Springfield,2015,Soil,Thermal,32.38
Florida,Springfield,2015,Water,Noise,38.7
Florida,Springfield,2015,Air,Light,39.11
Florida,Springfield,2015,Soil,Solid Waste,40.1
Florida,Springfield,2015,Water,Inferior Irrigation,42.86
Florida,Springfield,2015,Air,Oxygen-depletion,46.69
Michigan,Chicago,2018,Soil,Solid Waste,46.28
Michigan,Chicago,2018,Water,Inferior Irrigation,47.83
Michigan,Chicago,2018,Air,Oxygen-depletion,48.32
Michigan,Chicago,2018,Soil,Groundwater,50.65
Michigan,Chicago,2018,Water,Surface water,52.31
Michigan,Chicago,2018,Air,Chemical,57.26
Michigan,Chicago,2018,Soil,Thermal,58.61
Michigan,Chicago,2018,Water,Noise,58.23
Michigan,Chicago,2018,Air,Light,59.72
Michigan,Chicago,2018,Soil,Solid Waste,62.21
Michigan,Chicago,2018,Water,Inferior Irrigation,63.96
Michigan,Chicago,2018,Air,Oxygen-depletion,67.0
Illinois,Tampa,2022,Soil,Solid Waste,69.0
Illinois,Tampa,2022,Water,Inferior Irrigation,70.05
Illinois,Tampa,2022,Air,Oxygen-depletion,74.69
Illinois,Tampa,2022,Soil,Groundwater,74.85
Illinois,Tampa,2022,Water,Surface water,76.9
Illinois,Tampa,2022,Air,Chemical,79.25
Illinois,Tampa,2022,Soil,Thermal,80.53
Illinois,Tampa,2022,Water,Noise,81.63
Illinois,Tampa,2022,Air,Light,81.97
Illinois,Tampa,2022,Soil,Solid Waste,79.0
Illinois,Tampa,2022,Water,Inferior Irrigation,88.16
Illinois,Tampa,2022,Air,Oxygen-depletion,89.2
Florida,Fort Lauderdale,2015,Soil,Solid Waste,88.52
Florida,Fort Lauderdale,2015,Water,Inferior Irrigation,89.36
Florida,Fort Lauderdale,2015,Air,Oxygen-depletion,93.6
Florida,Fort Lauderdale,2015,Soil,Groundwater,94.9
Florida,Fort Lauderdale,2015,Water,Surface water,99.55
Florida,Fort Lauderdale,2015,Air,Chemical,0.64
Florida,Fort Lauderdale,2015,Soil,Thermal,-2.72
Florida,Fort Lauderdale,2015,Water,Noise,-96.33
Florida,Fort Lauderdale,2015,Air,Light,-94.84
Florida,Fort Lauderdale,2015,Soil,Solid Waste,-94.01
Florida,Fort Lauderdale,2015,Water,Inferior Irrigation,-92.55
Florida,Fort Lauderdale,2015,Air,Oxygen-depletion,-90.59
Michigan,Flint,2018,Soil,Solid Waste,-88.38
Michigan,Flint,2018,Water,Inferior Irrigation,-86.11
Michigan,Flint,2018,Air,Oxygen-depletion,-84.17
Michigan,Flint,2018,Soil,Groundwater,-81.85
Michigan,Flint,2018,Water,Surface water,-77.19
Michigan,Flint,2018,Air,Chemical,-77.45
Michigan,Flint,2018,Soil,Thermal,-74.85
Michigan,Flint,2018,Water,Noise,-69.38
Michigan,Flint,2018,Air,Light,-68.36
Michigan,Flint,2018,Soil,Solid Waste,-66.64
Michigan,Flint,2018,Water,Inferior Irrigation,-65.45
Michigan,Flint,2018,Air,Oxygen-depletion,-66.04
Illinois,Port Huron,2022,Soil,Solid Waste,-0.23
Illinois,Port Huron,2022,Water,Inferior Irrigation,-62.32
Illinois,Port Huron,2022,Air,Oxygen-depletion,-62.0
Illinois,Port Huron,2022,Soil,Groundwater,-57.51
Illinois,Port Huron,2022,Water,Surface water,-56.06
Illinois,Port Huron,2022,Air,Chemical,-55.31
Illinois,Port Huron,2022,Soil,Thermal,-56.72
Illinois,Port Huron,2022,Water,Noise,-53.22
Illinois,Port Huron,2022,Air,Light,-52.41
Illinois,Port Huron,2022,Soil,Solid Waste,-50.04
Illinois,Port Huron,2022,Water,Inferior Irrigation,-43.67
Illinois,Port Huron,2022,Air,Oxygen-depletion,-39.08
Florida,Detroit,2015,Soil,Solid Waste,-38.76
Florida,Detroit,2015,Water,Inferior Irrigation,-37.14
Florida,Detroit,2015,Air,Oxygen-depletion,-27.46
Florida,Detroit,2015,Soil,Groundwater,-22.17
Florida,Detroit,2015,Water,Surface water,-21.39
Florida,Detroit,2015,Air,Chemical,-20.84
Florida,Detroit,2015,Soil,Thermal,-11.46
Florida,Detroit,2015,Water,Noise,-9.59
Florida,Detroit,2015,Air,Light,-7.88
Florida,Detroit,2015,Soil,Solid Waste,-6.91
Florida,Detroit,2015,Water,Inferior Irrigation,-4.16
Florida,Detroit,2015,Air,Oxygen-depletion,-2.85
