Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,Apartment,Q2,June,6.17
Residential,Apartment,Q4,April,6.35
Residential,Apartment,Q2,November,6.49
Residential,Apartment,Q4,October,9.0
Residential,Apartment,Q2,December,18.27
Residential,Apartment,Q4,June,21.53
Service,House,Q2,June,21.21
Service,House,Q4,April,28.04
Service,House,Q2,November,30.03
Service,House,Q4,October,31.37
Service,House,Q2,December,33.84
Service,House,Q4,June,38.83
Production,Hotel,Q2,June,39.23
Production,Hotel,Q4,April,41.93
Production,Hotel,Q2,November,42.58
Production,Hotel,Q4,October,44.78
Production,Hotel,Q2,December,48.65
Production,Hotel,Q4,June,49.76
Residential,School,Q2,June,53.9
Residential,School,Q4,April,54.35
Residential,School,Q2,November,55.68
Residential,School,Q4,October,53.05
Residential,School,Q2,December,60.0
Residential,School,Q4,June,63.24
Service,Hospital,Q2,June,63.8
Service,Hospital,Q4,April,68.86
Service,Hospital,Q2,November,71.1
Service,Hospital,Q4,October,71.02
Service,Hospital,Q2,December,80.28
Service,Hospital,Q4,June,81.87
Production,Factory,Q2,June,84.73
Production,Factory,Q4,April,84.59
Production,Factory,Q2,November,87.8
Production,Factory,Q4,October,88.75
Production,Factory,Q2,December,87.84
Production,Factory,Q4,June,90.71
Residential,Workshop,Q2,June,91.97
Residential,Workshop,Q4,April,88.05
Residential,Workshop,Q2,November,93.63
Residential,Workshop,Q4,October,89.38
Residential,Workshop,Q2,December,94.7
Residential,Workshop,Q4,June,94.17
