Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2017,Humidity,Medium,5.83
2017,Wind,High,5.08
2017,Humidity,Breeze,8.86
2017,Wind,Calm,12.07
2017,Humidity,Storm,13.18
2017,Wind,Medium,14.35
2018,Humidity,Medium,13.83
2018,Wind,High,17.66
2018,Humidity,Breeze,18.7
2018,Wind,Calm,19.7
2018,Humidity,Storm,18.09
2018,Wind,Medium,21.32
2019,Humidity,Medium,22.19
2019,Wind,High,23.47
2019,Humidity,Breeze,24.95
2019,Wind,Calm,22.12
2019,Humidity,Storm,25.77
2019,Wind,Medium,25.74
