Polluted element,Type of pollution,Georgia_Albany_2017,Georgia_Salem_2017,Oregon_Redmond_2022,Oregon_Washington_2022
Air,Light,-31.82,39.62,23.29,-66.23
,Solid Waste,79.19,-94.02,20.37,-76.46
,Surface water,-13.95,47.82,-96.53,-58.77
Soil,Chemical,-18.07,-82.01,-98.47,66.06
,Inferior Irrigation,79.04,-94.63,16.90,51.68
,Thermal,94.15,36.82,23.30,57.01
Water,Inferior Irrigation,-5.88,50.71,33.69,-51.25
,Inorganic Fertilizers,81.48,-94.00,22.59,-73.66
,Noise,-21.79,-85.01,26.56,65.25
Average,,26.93,-30.52,-3.14,-9.60
