Characteristic,Intensity,2015_Minnesota_Columbia,2015_Minnesota_Hastings,2021_Maryland_Aberdeen,2021_Maryland_Minneapolis,2021_Maryland_Rochester,Maximum
Humidity,,15.67,24.36,7.74,25.06,19.04,25.06
,  31-40,15.67,7.51,7.74,25.06,19.04,25.06
,  Breeze,10.57,21.45,1.45,19.50,1.61,21.45
,  Medium,12.36,24.36,4.75,19.75,15.38,24.36
Temperature,,14.15,24.43,7.15,23.84,16.65,24.43
,  Calm,11.46,2.42,2.08,19.88,14.08,19.88
,  Low,9.22,24.43,3.24,23.84,16.65,24.43
,  Storm,14.15,9.71,7.15,23.27,1.41,23.27
Wind,,15.37,25.18,6.12,24.78,15.10,25.18
,  21-30,15.37,25.18,6.12,24.78,6.14,25.18
,  High,12.02,22.08,3.27,21.11,15.10,22.08
,  Storm,6.15,21.27,0.84,12.83,9.41,21.27
Maximum,,15.67,25.18,7.74,25.06,19.04,25.18
,  ,15.67,25.18,7.74,25.06,19.04,25.18
