Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,School,Q1,March,1.6
Service,School,Q4,February,5.7
Service,School,Q2,January,6.93
Service,School,Q1,December,15.49
Service,School,Q4,October,19.45
Service,School,Q2,November,21.78
Service,School,Q1,June,22.71
Service,School,Q4,May,26.92
Service,School,Q2,March,28.61
Residential,Administration,Q1,March,28.04
Residential,Administration,Q4,February,32.35
Residential,Administration,Q2,January,33.78
Residential,Administration,Q1,December,37.85
Residential,Administration,Q4,October,38.4
Residential,Administration,Q2,November,40.31
Residential,Administration,Q1,June,42.02
Residential,Administration,Q4,May,43.14
Residential,Administration,Q2,March,42.2
Service,Hotel,Q1,March,46.34
Service,Hotel,Q4,February,49.61
Service,Hotel,Q2,January,58.3
Service,Hotel,Q1,December,63.74
Service,Hotel,Q4,October,64.14
Service,Hotel,Q2,November,64.57
Service,Hotel,Q1,June,73.07
Service,Hotel,Q4,May,75.58
Service,Hotel,Q2,March,76.5
Residential,House,Q1,March,82.04
Residential,House,Q4,February,86.73
Residential,House,Q2,January,87.17
Residential,House,Q1,December,87.63
Residential,House,Q4,October,90.87
Residential,House,Q2,November,93.91
Residential,House,Q1,June,95.5
Residential,House,Q4,May,98.22
Residential,House,Q2,March,99.65
