Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2016,Humidity,High,1.83
2016,Wind,Medium,3.54
2016,Temperature,Breeze,4.2
2016,Humidity,Calm,8.87
2016,Wind,Storm,9.36
2016,Temperature,11-20,8.11
2016,Humidity,21-30,9.56
2016,Wind,31-40,12.39
2016,Temperature,High,11.76
2015,Humidity,High,0.04
2015,Wind,Medium,17.19
2015,Temperature,Breeze,19.38
2015,Humidity,Calm,20.68
2015,Wind,Storm,23.27
2015,Temperature,11-20,21.38
2015,Humidity,21-30,23.62
2015,Wind,31-40,22.29
2015,Temperature,High,26.26
