Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Residential,Apartment,Q3,August,Massachusetts,Cambridge,5.65
Residential,Apartment,Q1,September,Massachusetts,Cambridge,6.07
Residential,Apartment,Q3,July,Massachusetts,Cambridge,8.57
Residential,Apartment,Q1,March,Massachusetts,Cambridge,9.16
Residential,Apartment,Q3,February,Massachusetts,Cambridge,9.5
Residential,Apartment,Q1,August,Massachusetts,Cambridge,8.19
Service,Hotel,Q3,August,Massachusetts,Cambridge,12.58
Service,Hotel,Q1,September,Massachusetts,Cambridge,13.34
Service,Hotel,Q3,July,Massachusetts,Cambridge,17.27
Service,Hotel,Q1,March,Massachusetts,Cambridge,18.69
Service,Hotel,Q3,February,Massachusetts,Cambridge,19.54
Service,Hotel,Q1,August,Massachusetts,Cambridge,20.25
Culture,House,Q3,August,Massachusetts,Cambridge,21.3
Culture,House,Q1,September,Massachusetts,Cambridge,18.07
Culture,House,Q3,July,Massachusetts,Cambridge,25.93
Culture,House,Q1,March,Massachusetts,Cambridge,26.53
Culture,House,Q3,February,Massachusetts,Cambridge,26.26
Culture,House,Q1,August,Massachusetts,Cambridge,28.51
Residential,Hospital,Q3,August,Massachusetts,Cambridge,27.12
Residential,Hospital,Q1,September,Massachusetts,Cambridge,34.95
Residential,Hospital,Q3,July,Massachusetts,Cambridge,37.12
Residential,Hospital,Q1,March,Massachusetts,Cambridge,43.98
Residential,Hospital,Q3,February,Massachusetts,Cambridge,43.67
Residential,Hospital,Q1,August,Massachusetts,Cambridge,47.47
Service,Administration,Q3,August,Massachusetts,Cambridge,48.27
Service,Administration,Q1,September,Massachusetts,Cambridge,50.36
Service,Administration,Q3,July,Massachusetts,Cambridge,55.13
Service,Administration,Q1,March,Massachusetts,Cambridge,57.13
Service,Administration,Q3,February,Massachusetts,Cambridge,58.68
Service,Administration,Q1,August,Massachusetts,Cambridge,58.09
Culture,Theatre,Q3,August,Massachusetts,Cambridge,63.24
Culture,Theatre,Q1,September,Massachusetts,Cambridge,64.06
Culture,Theatre,Q3,July,Massachusetts,Cambridge,68.25
Culture,Theatre,Q1,March,Massachusetts,Cambridge,72.82
Culture,Theatre,Q3,February,Massachusetts,Cambridge,74.19
Culture,Theatre,Q1,August,Massachusetts,Cambridge,79.33
Residential,Concert,Q3,August,Massachusetts,Cambridge,81.08
Residential,Concert,Q1,September,Massachusetts,Cambridge,82.04
Residential,Concert,Q3,July,Massachusetts,Cambridge,90.19
Residential,Concert,Q1,March,Massachusetts,Cambridge,92.06
Residential,Concert,Q3,February,Massachusetts,Cambridge,92.41
Residential,Concert,Q1,August,Massachusetts,Cambridge,92.88
