Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Export,2021,Cereals,Seeds,643.86
Export,2021,Meat,Soybeans,329.95
Export,2021,Cereals,Beef,330.05
Export,2021,Meat,Chicken,650.07
Export,2020,Cereals,Seeds,956.07
Export,2020,Meat,Soybeans,301.77
Export,2020,Cereals,Beef,941.43
Export,2020,Meat,Chicken,816.64
Export,2016,Cereals,Seeds,689.11
Export,2016,Meat,Soybeans,83.18
Export,2016,Cereals,Beef,791.7
Export,2016,Meat,Chicken,953.37
Export,2021,Cereals,Seeds,411.51
Export,2021,Meat,Soybeans,156.61
Export,2021,Cereals,Beef,957.4
Export,2021,Meat,Chicken,478.92
