Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Service,Administration,Q3,July,Nevada,Las Vegas,2.27
Service,Administration,Q4,September,Florida,Reno,4.13
Service,Administration,Q3,August,Nevada,Tampa,6.84
Service,Administration,Q4,December,Florida,Las Vegas,7.31
Service,Administration,Q3,November,Nevada,Reno,7.56
Service,Administration,Q4,October,Florida,Tampa,7.4
Residential,School,Q3,July,Nevada,Las Vegas,9.0
Residential,School,Q4,September,Florida,Reno,7.67
Residential,School,Q3,August,Nevada,Tampa,12.82
Residential,School,Q4,December,Florida,Las Vegas,13.19
Residential,School,Q3,November,Nevada,Reno,8.64
Residential,School,Q4,October,Florida,Tampa,21.35
Culture,Hospital,Q3,July,Nevada,Las Vegas,22.37
Culture,Hospital,Q4,September,Florida,Reno,23.94
Culture,Hospital,Q3,August,Nevada,Tampa,23.77
Culture,Hospital,Q4,December,Florida,Las Vegas,29.42
Culture,Hospital,Q3,November,Nevada,Reno,34.98
Culture,Hospital,Q4,October,Florida,Tampa,35.95
Service,Hotel,Q3,July,Nevada,Las Vegas,34.06
Service,Hotel,Q4,September,Florida,Reno,37.97
Service,Hotel,Q3,August,Nevada,Tampa,36.8
Service,Hotel,Q4,December,Florida,Las Vegas,39.3
Service,Hotel,Q3,November,Nevada,Reno,39.82
Service,Hotel,Q4,October,Florida,Tampa,41.59
Residential,Apartment,Q3,July,Nevada,Las Vegas,41.83
Residential,Apartment,Q4,September,Florida,Reno,48.97
Residential,Apartment,Q3,August,Nevada,Tampa,50.67
Residential,Apartment,Q4,December,Florida,Las Vegas,56.45
Residential,Apartment,Q3,November,Nevada,Reno,56.54
Residential,Apartment,Q4,October,Florida,Tampa,56.55
Culture,House,Q3,July,Nevada,Las Vegas,59.77
Culture,House,Q4,September,Florida,Reno,60.99
Culture,House,Q3,August,Nevada,Tampa,61.35
Culture,House,Q4,December,Florida,Las Vegas,58.26
Culture,House,Q3,November,Nevada,Reno,63.44
Culture,House,Q4,October,Florida,Tampa,65.22
Service,Concert,Q3,July,Nevada,Las Vegas,67.32
Service,Concert,Q4,September,Florida,Reno,68.38
Service,Concert,Q3,August,Nevada,Tampa,68.21
Service,Concert,Q4,December,Florida,Las Vegas,70.65
Service,Concert,Q3,November,Nevada,Reno,71.92
Service,Concert,Q4,October,Florida,Tampa,75.25
Residential,Theatre,Q3,July,Nevada,Las Vegas,75.5
Residential,Theatre,Q4,September,Florida,Reno,79.57
Residential,Theatre,Q3,August,Nevada,Tampa,83.21
Residential,Theatre,Q4,December,Florida,Las Vegas,84.53
Residential,Theatre,Q3,November,Nevada,Reno,85.8
Residential,Theatre,Q4,October,Florida,Tampa,84.41
Culture,Museum,Q3,July,Nevada,Las Vegas,86.47
Culture,Museum,Q4,September,Florida,Reno,88.76
Culture,Museum,Q3,August,Nevada,Tampa,89.83
Culture,Museum,Q4,December,Florida,Las Vegas,85.07
Culture,Museum,Q3,November,Nevada,Reno,93.17
Culture,Museum,Q4,October,Florida,Tampa,93.28
