Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2022,Humidity,High,1.9
2022,Wind,Medium,3.77
2022,Temperature,Low,8.47
2022,Humidity,Storm,11.92
2022,Wind,Calm,13.37
2022,Temperature,0-10,14.87
2022,Humidity,31-40,15.96
2022,Wind,High,15.37
2022,Temperature,Medium,15.78
2016,Humidity,High,17.53
2016,Wind,Medium,19.33
2016,Temperature,Low,18.94
2016,Humidity,Storm,14.44
2016,Wind,Calm,21.21
2016,Temperature,0-10,21.0
2016,Humidity,31-40,22.56
2016,Wind,High,21.91
2016,Temperature,Medium,26.24
