Polluted element,Type of pollution,California_Malibu_2020,California_Redmond_2022,Oregon_Berkeley_2016,Oregon_Salem_2020
Average,,3.92,10.24,-8.48,12.07
,  ,3.92,10.24,-8.48,12.07
Air,,-61.79,37.23,-23.82,-32.92
,  Chemical,-99.73,-50.75,-64.17,-34.08
,  Inferior Irrigation,-87.68,87.34,-61.21,-27.26
,  Thermal,2.04,75.10,53.92,-37.42
Soil,,40.22,41.96,-21.30,57.39
,  Light,28.22,76.68,-72.08,93.25
,  Noise,52.05,-38.32,72.89,-18.27
,  Urban Activities,40.39,87.51,-64.71,97.18
Water,,33.33,-48.45,19.68,11.75
,  Noise,16.70,-52.61,55.58,90.92
,  Oxygen-depletion,32.20,-53.43,-64.78,-34.56
,  Thermal,51.08,-39.32,68.23,-21.11
