Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Production,Factory,Q3,September,Illinois,Springfield,10.91
Production,Factory,Q2,July,California,Chicago,13.0
Production,Factory,Q3,April,Illinois,Los-Angeles,16.87
Production,Factory,Q2,June,California,Springfield,35.29
Culture,Workshop,Q3,September,Illinois,Springfield,38.91
Culture,Workshop,Q2,July,California,Chicago,41.98
Culture,Workshop,Q3,April,Illinois,Los-Angeles,43.15
Culture,Workshop,Q2,June,California,Springfield,43.05
Production,Concert,Q3,September,Illinois,Springfield,44.88
Production,Concert,Q2,July,California,Chicago,52.97
Production,Concert,Q3,April,Illinois,Los-Angeles,52.81
Production,Concert,Q2,June,California,Springfield,54.47
Culture,Theatre,Q3,September,Illinois,Springfield,55.48
Culture,Theatre,Q2,July,California,Chicago,56.1
Culture,Theatre,Q3,April,Illinois,Los-Angeles,66.47
Culture,Theatre,Q2,June,California,Springfield,74.42
Production,Museum,Q3,September,Illinois,Springfield,77.31
Production,Museum,Q2,July,California,Chicago,79.95
Production,Museum,Q3,April,Illinois,Los-Angeles,93.23
Production,Museum,Q2,June,California,Springfield,97.4
