Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2021,Michigan,Detroit,Temperature,31-40,1.23
2021,Michigan,Detroit,Wind,11-20,1.24
2021,Michigan,Detroit,Temperature,Storm,3.82
2021,Michigan,Detroit,Wind,Calm,3.08
2015,Illinois,Flint,Temperature,31-40,4.06
2015,Illinois,Flint,Wind,11-20,6.94
2015,Illinois,Flint,Temperature,Storm,7.19
2015,Illinois,Flint,Wind,Calm,2.07
2021,Nevada,Port Huron,Temperature,31-40,4.42
2021,Nevada,Port Huron,Wind,11-20,2.82
2021,Nevada,Port Huron,Temperature,Storm,11.25
2021,Nevada,Port Huron,Wind,Calm,11.51
2015,Michigan,Champaign,Temperature,31-40,16.52
2015,Michigan,Champaign,Wind,11-20,16.94
2015,Michigan,Champaign,Temperature,Storm,16.84
2015,Michigan,Champaign,Wind,Calm,19.73
2021,Illinois,Chicago,Temperature,31-40,19.99
2021,Illinois,Chicago,Wind,11-20,21.76
2021,Illinois,Chicago,Temperature,Storm,20.98
2021,Illinois,Chicago,Wind,Calm,23.42
2015,Nevada,Springfield,Temperature,31-40,24.46
2015,Nevada,Springfield,Wind,11-20,24.26
2015,Nevada,Springfield,Temperature,Storm,21.27
2015,Nevada,Springfield,Wind,Calm,27.17
2021,Michigan,Las Vegas,Temperature,31-40,25.99
2021,Michigan,Las Vegas,Wind,11-20,20.04
2021,Michigan,Las Vegas,Temperature,Storm,25.82
2021,Michigan,Las Vegas,Wind,Calm,16.19
2015,Illinois,Boulder City,Temperature,31-40,16.93
2015,Illinois,Boulder City,Wind,11-20,17.88
2015,Illinois,Boulder City,Temperature,Storm,18.18
2015,Illinois,Boulder City,Wind,Calm,21.85
