Polluted element,Type of pollution,Florida_Detroit_2022,Florida_Las Vegas_2015,Michigan_Boulder City_2022,Michigan_Flint_2018,Michigan_Tampa_2020,Nevada_Fort Lauderdale_2015,Nevada_Port Huron_2020,Nevada_Reno_2018
Average,,22.01,-14.06,9.06,-30.24,18.10,35.80,11.96,10.67
,  ,22.01,-14.06,9.06,-30.24,18.10,35.80,11.96,10.67
Air,,77.62,-86.53,21.18,-59.56,-26.70,91.92,10.92,8.09
,  Inorganic Fertilizers,79.00,-84.29,16.30,-58.41,-28.11,92.98,-77.91,8.56
,  Light,72.06,-93.82,18.70,-63.24,-33.95,87.08,51.89,-0.63
,  Surface water,81.79,-81.47,28.54,-57.03,-18.03,95.69,58.77,16.33
Soil,,-5.83,-0.34,-18.83,-15.39,59.01,50.25,12.88,11.15
,  Groundwater,81.25,-81.21,-99.78,-54.08,-15.99,96.96,-68.59,17.78
,  Inferior Irrigation,-47.16,44.06,25.10,70.42,93.35,-35.76,55.68,11.76
,  Thermal,-51.58,36.12,18.18,-62.50,99.67,89.54,51.54,3.90
Water,,-5.76,44.68,24.84,-15.78,22.00,-34.77,12.10,12.77
,  Noise,79.32,36.60,21.26,-62.39,99.35,-37.25,52.77,4.51
,  Oxygen-depletion,-49.98,50.60,28.24,-57.29,-11.37,-32.24,-68.94,18.94
,  Urban Activities,-46.62,46.84,25.03,72.33,-21.98,-34.83,52.47,14.86
