State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
California,Berkeley,Soil,Industrial,-0.79
California,Berkeley,Air,Solid Waste,1.45
California,Berkeley,Water,Inorganic Fertilizers,2.09
California,Berkeley,Soil,Inferior Irrigation,3.4
California,Berkeley,Air,Urban Activities,5.84
California,Berkeley,Water,Thermal,6.21
California,Berkeley,Soil,Light,8.99
California,Berkeley,Air,Noise,8.05
California,Berkeley,Water,Oxygen-depletion,11.97
California,Berkeley,Soil,Surface water,12.74
California,Berkeley,Air,Chemical,12.76
California,Berkeley,Water,Groundwater,14.46
California,Berkeley,Soil,Industrial,18.78
California,Berkeley,Air,Solid Waste,21.97
California,Berkeley,Water,Inorganic Fertilizers,22.25
Oregon,Malibu,Soil,Industrial,21.11
Oregon,Malibu,Air,Solid Waste,24.96
Oregon,Malibu,Water,Inorganic Fertilizers,24.22
Oregon,Malibu,Soil,Inferior Irrigation,26.26
Oregon,Malibu,Air,Urban Activities,29.95
Oregon,Malibu,Water,Thermal,29.87
Oregon,Malibu,Soil,Light,30.26
Oregon,Malibu,Air,Noise,33.54
Oregon,Malibu,Water,Oxygen-depletion,34.76
Oregon,Malibu,Soil,Surface water,35.65
Oregon,Malibu,Air,Chemical,36.53
Oregon,Malibu,Water,Groundwater,37.37
Oregon,Malibu,Soil,Industrial,38.0
Oregon,Malibu,Air,Solid Waste,41.74
Oregon,Malibu,Water,Inorganic Fertilizers,45.62
Maryland,Portland,Soil,Industrial,45.12
Maryland,Portland,Air,Solid Waste,50.08
Maryland,Portland,Water,Inorganic Fertilizers,52.11
Maryland,Portland,Soil,Inferior Irrigation,58.44
Maryland,Portland,Air,Urban Activities,63.66
Maryland,Portland,Water,Thermal,76.02
Maryland,Portland,Soil,Light,79.57
Maryland,Portland,Air,Noise,79.48
Maryland,Portland,Water,Oxygen-depletion,81.08
Maryland,Portland,Soil,Surface water,81.44
Maryland,Portland,Air,Chemical,85.87
Maryland,Portland,Water,Groundwater,85.03
Maryland,Portland,Soil,Industrial,87.92
Maryland,Portland,Air,Solid Waste,87.86
Maryland,Portland,Water,Inorganic Fertilizers,87.05
California,Redmond,Soil,Industrial,96.99
California,Redmond,Air,Solid Waste,97.38
California,Redmond,Water,Inorganic Fertilizers,96.07
California,Redmond,Soil,Inferior Irrigation,99.87
California,Redmond,Air,Urban Activities,-9.77
California,Redmond,Water,Thermal,-0.46
California,Redmond,Soil,Light,-99.48
California,Redmond,Air,Noise,-95.99
California,Redmond,Water,Oxygen-depletion,-87.26
California,Redmond,Soil,Surface water,-85.03
California,Redmond,Air,Chemical,-84.01
California,Redmond,Water,Groundwater,-83.1
California,Redmond,Soil,Industrial,-82.98
California,Redmond,Air,Solid Waste,-82.89
California,Redmond,Water,Inorganic Fertilizers,-78.62
Oregon,Baltimore,Soil,Industrial,-77.83
Oregon,Baltimore,Air,Solid Waste,-74.77
Oregon,Baltimore,Water,Inorganic Fertilizers,-72.28
Oregon,Baltimore,Soil,Inferior Irrigation,-71.96
Oregon,Baltimore,Air,Urban Activities,-70.49
Oregon,Baltimore,Water,Thermal,-72.4
Oregon,Baltimore,Soil,Light,-71.53
Oregon,Baltimore,Air,Noise,-68.74
Oregon,Baltimore,Water,Oxygen-depletion,-66.49
Oregon,Baltimore,Soil,Surface water,-65.97
Oregon,Baltimore,Air,Chemical,-59.36
Oregon,Baltimore,Water,Groundwater,-58.37
Oregon,Baltimore,Soil,Industrial,-58.02
Oregon,Baltimore,Air,Solid Waste,-53.03
Oregon,Baltimore,Water,Inorganic Fertilizers,-52.78
Maryland,Columbia,Soil,Industrial,-52.08
Maryland,Columbia,Air,Solid Waste,-45.84
Maryland,Columbia,Water,Inorganic Fertilizers,-44.67
Maryland,Columbia,Soil,Inferior Irrigation,-44.0
Maryland,Columbia,Air,Urban Activities,-40.81
Maryland,Columbia,Water,Thermal,-39.98
Maryland,Columbia,Soil,Light,-40.23
Maryland,Columbia,Air,Noise,-40.0
Maryland,Columbia,Water,Oxygen-depletion,-39.21
Maryland,Columbia,Soil,Surface water,-34.65
Maryland,Columbia,Air,Chemical,-30.38
Maryland,Columbia,Water,Groundwater,-28.93
Maryland,Columbia,Soil,Industrial,-28.64
Maryland,Columbia,Air,Solid Waste,-28.44
Maryland,Columbia,Water,Inorganic Fertilizers,-25.62
California,Aberdeen,Soil,Industrial,-25.23
California,Aberdeen,Air,Solid Waste,-24.88
California,Aberdeen,Water,Inorganic Fertilizers,-22.91
California,Aberdeen,Soil,Inferior Irrigation,-23.16
California,Aberdeen,Air,Urban Activities,-28.96
California,Aberdeen,Water,Thermal,-1.68
California,Aberdeen,Soil,Light,-16.47
California,Aberdeen,Air,Noise,-15.27
California,Aberdeen,Water,Oxygen-depletion,-16.61
California,Aberdeen,Soil,Surface water,-16.31
California,Aberdeen,Air,Chemical,-15.41
California,Aberdeen,Water,Groundwater,-14.5
California,Aberdeen,Soil,Industrial,-10.6
California,Aberdeen,Air,Solid Waste,-9.97
California,Aberdeen,Water,Inorganic Fertilizers,-1.08
