Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Production,Factory,Q3,August,Florida,Tampa,14.24
Production,Factory,Q1,July,Florida,Fort Lauderdale,16.65
Production,Factory,Q2,January,Florida,Tampa,16.68
Production,Factory,Q3,February,Florida,Fort Lauderdale,16.83
Production,Factory,Q1,June,Florida,Tampa,19.93
Production,Factory,Q2,May,Florida,Fort Lauderdale,23.48
Residential,Workshop,Q3,August,Florida,Tampa,33.62
Residential,Workshop,Q1,July,Florida,Fort Lauderdale,38.58
Residential,Workshop,Q2,January,Florida,Tampa,47.62
Residential,Workshop,Q3,February,Florida,Fort Lauderdale,50.0
Residential,Workshop,Q1,June,Florida,Tampa,52.9
Residential,Workshop,Q2,May,Florida,Fort Lauderdale,57.01
Production,Apartment,Q3,August,Florida,Tampa,62.14
Production,Apartment,Q1,July,Florida,Fort Lauderdale,64.04
Production,Apartment,Q2,January,Florida,Tampa,65.14
Production,Apartment,Q3,February,Florida,Fort Lauderdale,73.63
Production,Apartment,Q1,June,Florida,Tampa,73.94
Production,Apartment,Q2,May,Florida,Fort Lauderdale,76.01
Residential,Hotel,Q3,August,Florida,Tampa,85.56
Residential,Hotel,Q1,July,Florida,Fort Lauderdale,87.54
Residential,Hotel,Q2,January,Florida,Tampa,88.02
Residential,Hotel,Q3,February,Florida,Fort Lauderdale,91.43
Residential,Hotel,Q1,June,Florida,Tampa,96.68
Residential,Hotel,Q2,May,Florida,Fort Lauderdale,98.46
