Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Export,2016,Cereals,Wheat,128.14
Export,2016,Beverage,Seeds,781.7
Export,2016,Cereals,Soybeans,14.92
Export,2016,Beverage,Juice,141.73
Export,2016,Cereals,Tea,916.59
Export,2016,Beverage,Wheat,535.58
Export,2015,Cereals,Wheat,544.59
Export,2015,Beverage,Seeds,676.17
Export,2015,Cereals,Soybeans,556.83
Export,2015,Beverage,Juice,50.64
Export,2015,Cereals,Tea,572.3
Export,2015,Beverage,Wheat,702.05
Export,2021,Cereals,Wheat,64.08
Export,2021,Beverage,Seeds,578.51
Export,2021,Cereals,Soybeans,851.4
Export,2021,Beverage,Juice,853.13
Export,2021,Cereals,Tea,983.9
Export,2021,Beverage,Wheat,91.93
Export,2016,Cereals,Wheat,608.37
Export,2016,Beverage,Seeds,744.1
Export,2016,Cereals,Soybeans,622.79
Export,2016,Beverage,Juice,497.22
Export,2016,Cereals,Tea,885.27
Export,2016,Beverage,Wheat,122.39
