Polluted element,Type of pollution,Florida_Flint_2018,Florida_Fort Lauderdale_2018,Michigan_Detroit_2022,Michigan_Hastings_2022,Minnesota_Minneapolis_2016,Minnesota_Port Huron_2016,Minnesota_Tampa_2016,Average
Air,Chemical,-85.98,75.71,-67.70,28.34,8.56,52.17,-36.43,-3.62
,Light,-82.99,82.61,-63.15,-95.97,13.57,56.83,97.63,1.22
,Solid Waste,-79.64,-41.95,-57.87,-91.39,17.55,59.66,-4.43,-28.30
Soil,Inferior Irrigation,-88.75,72.25,-70.70,23.72,1.40,50.84,89.74,11.21
,Noise,-81.13,83.02,66.73,-95.75,14.84,-72.98,-24.39,-15.67
,Oxygen-depletion,-84.56,78.13,-65.67,-98.02,9.99,53.30,-35.60,-20.35
Water,Inferior Irrigation,46.34,85.99,-63.46,37.21,17.35,58.99,-22.79,22.80
,Solid Waste,-88.01,-54.49,-67.11,24.13,6.17,-77.88,-38.89,-42.30
,Thermal,-85.32,-48.82,64.96,32.92,10.18,53.41,95.07,17.49
Average,,-70.00,36.94,-36.00,-26.09,11.07,26.04,13.32,-6.39
