Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2017,Humidity,High,0.52
2017,Temperature,Low,2.44
2017,Humidity,0-10,3.6
2017,Temperature,21-30,5.01
2017,Humidity,31-40,6.13
2017,Temperature,High,27.86
2020,Humidity,High,9.89
2020,Temperature,Low,9.72
2020,Humidity,0-10,11.31
2020,Temperature,21-30,8.07
2020,Humidity,31-40,8.46
2020,Temperature,High,14.29
2019,Humidity,High,16.3
2019,Temperature,Low,18.64
2019,Humidity,0-10,22.3
2019,Temperature,21-30,24.72
2019,Humidity,31-40,25.76
2019,Temperature,High,27.12
