Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2021,Maryland,Aberdeen,Humidity,Medium,0.43
2021,Maryland,Aberdeen,Temperature,Low,1.2
2021,Maryland,Aberdeen,Humidity,High,1.61
2021,Maryland,Aberdeen,Temperature,21-30,3.82
2021,Maryland,Aberdeen,Humidity,11-20,4.96
2021,Maryland,Aberdeen,Temperature,Medium,5.01
2016,Michigan,Baltimore,Humidity,Medium,6.91
2016,Michigan,Baltimore,Temperature,Low,6.71
2016,Michigan,Baltimore,Humidity,High,8.83
2016,Michigan,Baltimore,Temperature,21-30,9.54
2016,Michigan,Baltimore,Humidity,11-20,10.96
2016,Michigan,Baltimore,Temperature,Medium,11.55
2022,Georgia,Columbia,Humidity,Medium,12.14
2022,Georgia,Columbia,Temperature,Low,10.83
2022,Georgia,Columbia,Humidity,High,14.65
2022,Georgia,Columbia,Temperature,21-30,15.09
2022,Georgia,Columbia,Humidity,11-20,16.25
2022,Georgia,Columbia,Temperature,Medium,17.88
2021,Maryland,Flint,Humidity,Medium,16.56
2021,Maryland,Flint,Temperature,Low,17.82
2021,Maryland,Flint,Humidity,High,20.07
2021,Maryland,Flint,Temperature,21-30,20.79
2021,Maryland,Flint,Humidity,11-20,22.16
2021,Maryland,Flint,Temperature,Medium,20.26
2016,Michigan,Port Huron,Humidity,Medium,22.85
2016,Michigan,Port Huron,Temperature,Low,17.81
2016,Michigan,Port Huron,Humidity,High,26.55
2016,Michigan,Port Huron,Temperature,21-30,26.41
2016,Michigan,Port Huron,Humidity,11-20,27.76
2016,Michigan,Port Huron,Temperature,Medium,5.41
2022,Georgia,Detroit,Humidity,Medium,21.47
2022,Georgia,Detroit,Temperature,Low,6.02
2022,Georgia,Detroit,Humidity,High,6.07
2022,Georgia,Detroit,Temperature,21-30,25.51
2022,Georgia,Detroit,Humidity,11-20,27.96
2022,Georgia,Detroit,Temperature,Medium,1.5
2021,Maryland,Columbus,Humidity,Medium,7.92
2021,Maryland,Columbus,Temperature,Low,9.88
2021,Maryland,Columbus,Humidity,High,9.21
2021,Maryland,Columbus,Temperature,21-30,9.64
2021,Maryland,Columbus,Humidity,11-20,12.04
2021,Maryland,Columbus,Temperature,Medium,12.72
2016,Michigan,Washington,Humidity,Medium,12.8
2016,Michigan,Washington,Temperature,Low,13.38
2016,Michigan,Washington,Humidity,High,14.77
2016,Michigan,Washington,Temperature,21-30,15.29
2016,Michigan,Washington,Humidity,11-20,16.92
2016,Michigan,Washington,Temperature,Medium,18.78
2022,Georgia,Albany,Humidity,Medium,6.53
2022,Georgia,Albany,Temperature,Low,6.22
2022,Georgia,Albany,Humidity,High,21.76
2022,Georgia,Albany,Temperature,21-30,2.47
2022,Georgia,Albany,Humidity,11-20,22.88
2022,Georgia,Albany,Temperature,Medium,2.34
