Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2016,Wind,Calm,0.79
2016,Temperature,Breeze,1.84
2016,Humidity,11-20,2.9
2016,Wind,31-40,2.94
2016,Temperature,Low,1.96
2016,Humidity,Medium,7.4
2018,Wind,Calm,27.77
2018,Temperature,Breeze,13.31
2018,Humidity,11-20,14.87
2018,Wind,31-40,13.84
2018,Temperature,Low,16.71
2018,Humidity,Medium,17.23
2019,Wind,Calm,18.36
2019,Temperature,Breeze,13.46
2019,Humidity,11-20,22.87
2019,Wind,31-40,23.02
2019,Temperature,Low,26.28
2019,Humidity,Medium,27.53
