Characteristic,Intensity,2018_Maryland_Rochester,2018_Michigan_Minneapolis,2018_Minnesota_Columbia,2018_Minnesota_Flint,2019_Maryland_Baltimore,2019_Maryland_Detroit,2019_Michigan_Aberdeen,2019_Minnesota_Hastings,Maximum
Humidity,,27.63,13.71,14.70,22.29,5.69,16.56,24.73,3.18,27.63
,  31-40,27.63,12.19,12.98,20.30,3.71,15.06,18.59,2.27,27.63
,  Medium,27.44,10.32,8.83,18.71,0.70,14.12,13.68,1.19,27.44
,  Storm,26.86,13.71,14.70,22.29,5.69,16.56,24.73,3.18,26.86
Temperature,,27.94,13.22,15.40,21.63,7.88,16.00,22.37,10.28,27.94
,  0-10,27.86,12.16,13.58,21.63,4.85,16.00,22.37,2.85,27.86
,  Low,27.94,10.51,2.10,0.06,1.96,2.88,17.57,8.18,27.94
,  Medium,0.77,13.22,15.40,3.40,7.88,4.29,19.86,10.28,19.86
Wind,,23.20,13.62,17.31,20.47,8.78,18.42,26.96,10.67,26.96
,  Breeze,23.20,13.62,14.95,2.14,5.48,16.49,16.41,2.43,23.20
,  High,21.78,11.21,11.50,20.47,2.29,15.90,20.40,8.19,21.78
,  Low,1.60,1.79,17.31,1.32,8.78,18.42,26.96,10.67,26.96
