Characteristic,Intensity,2015_Georgia_Aberdeen,2015_Maryland_Washington,2016_Georgia_Albany,2016_Maryland_Columbia,2018_Maryland_Baltimore
Humidity,11-20,8.78,19.37,9.98,5.67,25.96
,Low,13.65,17.57,5.82,3.22,22.25
,Storm,10.88,14.28,19.30,1.92,18.57
Temperature,0-10,0.26,20.52,10.60,7.31,25.30
,Breeze,6.60,15.83,25.40,0.67,19.74
,High,14.47,18.40,8.19,5.89,22.58
Wind,31-40,13.98,18.11,8.69,5.16,20.68
,Calm,7.71,11.09,26.74,0.72,18.20
,Medium,12.59,16.24,25.88,3.11,18.02
Maximum,,14.47,20.52,26.74,7.31,25.96
