Polluted element,Type of pollution,Florida_Albany_2016,Florida_Tampa_2021,Georgia_Columbus_2021,Georgia_Fort Lauderdale_2022,Average
Air,,32.17,18.78,10.28,-82.54,-5.33
,  Chemical,83.43,31.40,-26.30,-74.24,3.57
,  Noise,66.37,0.20,-38.30,-91.94,-15.92
,  Solid Waste,-53.30,24.73,95.43,-81.43,-3.64
Soil,,-9.91,21.58,-27.59,-36.49,-13.10
,  Inferior Irrigation,-50.03,28.33,-32.07,51.79,-0.50
,  Light,-62.91,3.43,-36.42,-90.41,-46.58
,  Noise,83.21,32.99,-14.27,-70.85,7.77
Water,,-7.06,-13.89,63.49,7.65,12.55
,  Groundwater,80.11,29.80,98.53,52.54,65.25
,  Light,-43.62,-94.84,-1.58,60.12,-19.98
,  Thermal,-57.66,23.38,93.51,-89.70,-7.62
Average,,5.07,8.82,15.39,-37.12,-1.96
,  ,5.07,8.82,15.39,-37.12,-1.96
