Category,Item,Import_2017,Import_2020,Import_2022,Average
Beverage,,424.39,508.04,331.83,421.42
,  Pork,261.00,226.03,38.62,175.22
,  Soda,510.54,345.35,672.85,509.58
,  Wheat,501.62,952.74,284.02,579.46
Cereals,,463.40,666.29,628.57,586.09
,  Camel,515.54,605.82,548.92,556.76
,  Soybeans,625.45,558.77,920.30,701.51
,  Tea,249.20,834.28,416.49,499.99
Meat,,554.85,563.04,378.07,498.66
,  Coffee,510.76,120.48,803.47,478.24
,  Rice,374.37,956.32,159.20,496.63
,  Soybeans,779.43,612.33,171.54,521.10
