Characteristic,Intensity,2016_Florida_Tampa,2016_Nevada_Las Vegas,2019_Nevada_Boulder City,2021_Florida_Reno,2021_Nevada_Fort Lauderdale,Maximum
Temperature,,25.54,6.05,18.57,14.56,24.30,25.54
,  11-20,24.94,2.41,18.57,10.72,24.30,24.94
,  21-30,25.54,6.05,16.94,14.56,17.80,25.54
,  Breeze,22.68,2.77,16.46,5.14,23.40,23.40
Wind,,25.30,5.11,19.44,12.48,27.05,27.05
,  0-10,25.30,5.11,19.44,12.48,16.52,25.30
,  Calm,21.75,2.84,17.22,8.56,27.05,27.05
,  Storm,21.13,1.21,15.46,4.63,23.99,23.99
Maximum,,25.54,6.05,19.44,14.56,27.05,27.05
,  ,25.54,6.05,19.44,14.56,27.05,27.05
