Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Export,2020,Q2,Meat,Pork,133.16
Export,2020,Q2,Beverage,Chicken,397.56
Export,2020,Q2,Meat,Camel,150.52
Export,2020,Q2,Beverage,Soda,23.88
Export,2020,Q2,Meat,Tea,281.89
Export,2020,Q2,Beverage,Coffee,286.92
Export,2022,Q2,Meat,Pork,416.48
Export,2022,Q2,Beverage,Chicken,807.9
Export,2022,Q2,Meat,Camel,681.14
Export,2022,Q2,Beverage,Soda,685.34
Export,2022,Q2,Meat,Tea,179.74
Export,2022,Q2,Beverage,Coffee,950.59
Export,2018,Q2,Meat,Pork,570.36
Export,2018,Q2,Beverage,Chicken,960.31
Export,2018,Q2,Meat,Camel,832.76
Export,2018,Q2,Beverage,Soda,963.92
Export,2018,Q2,Meat,Tea,200.55
Export,2018,Q2,Beverage,Coffee,78.74
Export,2020,Q2,Meat,Pork,81.49
Export,2020,Q2,Beverage,Chicken,87.94
Export,2020,Q2,Meat,Camel,472.3
Export,2020,Q2,Beverage,Soda,601.19
Export,2020,Q2,Meat,Tea,346.29
Export,2020,Q2,Beverage,Coffee,865.87
Export,2022,Q2,Meat,Pork,866.75
Export,2022,Q2,Beverage,Chicken,102.8
Export,2022,Q2,Meat,Camel,743.85
Export,2022,Q2,Beverage,Soda,108.6
Export,2022,Q2,Meat,Tea,374.26
Export,2022,Q2,Beverage,Coffee,890.15
