Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Import,2022,Q1,Dairy,Cheese,32.66
Import,2022,Q1,Meat,Yoghurt,96.29
Import,2022,Q1,Dairy,Camel,452.75
Import,2022,Q1,Meat,Pork,773.07
Import,2015,Q1,Dairy,Cheese,678.26
Import,2015,Q1,Meat,Yoghurt,519.54
Import,2015,Q1,Dairy,Camel,999.88
Import,2015,Q1,Meat,Pork,574.38
Import,2022,Q1,Dairy,Cheese,10.14
Import,2022,Q1,Meat,Yoghurt,910.32
Import,2022,Q1,Dairy,Camel,691.03
Import,2022,Q1,Meat,Pork,979.51
Import,2015,Q1,Dairy,Cheese,221.5
Import,2015,Q1,Meat,Yoghurt,603.47
Import,2015,Q1,Dairy,Camel,957.37
Import,2015,Q1,Meat,Pork,350.1
