Polluted element,Type of pollution,Florida_Detroit_2015,Florida_Fort Lauderdale_2015,Florida_Springfield_2015,Illinois_Champaign_2022,Illinois_Port Huron_2022,Illinois_Tampa_2022,Michigan_Chicago_2018,Michigan_Flint_2018,Average
Air,Chemical,-20.84,0.64,34.35,6.64,-55.31,79.25,57.26,-77.45,3.07
,Light,-7.88,-94.84,39.11,14.38,-52.41,81.97,59.72,-68.36,-3.54
,Oxygen-depletion,-15.16,1.50,36.44,13.77,-50.54,81.94,57.66,-75.11,6.31
Soil,Groundwater,-22.17,94.90,32.58,4.79,-57.51,74.85,50.65,-81.85,12.03
,Solid Waste,-22.84,-2.75,33.37,10.45,-25.13,74.00,54.25,-77.51,5.48
,Thermal,-11.46,-2.72,32.38,8.84,-56.72,80.53,58.61,-74.85,4.33
Water,Inferior Irrigation,-20.65,-1.59,35.08,12.93,-53.00,79.10,55.89,-75.78,4.00
,Noise,-9.59,-96.33,38.70,8.80,-53.22,81.63,58.23,-69.38,-5.15
,Surface water,-21.39,99.55,33.32,3.13,-56.06,76.90,52.31,-77.19,13.82
Average,,-16.89,-0.18,35.04,9.30,-51.10,78.91,56.06,-75.27,4.48
