Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Male,2019,Q1,Traffic,Serious,67.09
Male,2019,Q1,Drowning,Fatal,88.22
Male,2019,Q1,Fire,Slight,11.12
Male,2017,Q1,Traffic,Serious,76.77
Male,2017,Q1,Drowning,Fatal,81.13
Male,2017,Q1,Fire,Slight,84.57
Male,2020,Q1,Traffic,Serious,53.39
Male,2020,Q1,Drowning,Fatal,22.91
Male,2020,Q1,Fire,Slight,21.09
Male,2019,Q1,Traffic,Serious,24.03
Male,2019,Q1,Drowning,Fatal,54.03
Male,2019,Q1,Fire,Slight,26.81
Male,2017,Q1,Traffic,Serious,91.86
Male,2017,Q1,Drowning,Fatal,29.06
Male,2017,Q1,Fire,Slight,31.9
