Quarter,Month,Culture_Apartment,Culture_Library,Culture_Museum,Residential_Concert,Residential_Hotel,Residential_School,Service_Hospital,Service_House,State,City
Minimum,,18.33,92.35,57.55,47.98,1.44,80.11,72.91,35.27,,
,  ,18.33,92.35,57.55,47.98,1.44,80.11,72.91,35.27,,
Q1,,18.33,92.35,57.55,47.98,1.44,80.11,72.91,35.27,,
,  February,18.33,92.35,57.55,47.98,1.44,80.11,72.91,35.27,Georgia,Albany
,  June,27.81,99.57,67.34,56.44,9.16,88.48,80.28,41.38,Georgia,Albany
,  November,21.91,93.18,63.57,52.67,4.40,86.18,77.48,37.56,Michigan,Flint
Q2,,22.54,95.31,62.16,51.81,4.44,84.30,75.40,37.46,,
,  April,25.36,97.36,65.43,55.42,10.34,88.60,79.58,40.82,Michigan,Flint
,  February,31.30,99.12,68.85,56.76,18.58,91.38,82.94,48.29,Georgia,Albany
,  October,22.54,95.31,62.16,51.81,4.44,84.30,75.40,37.46,Georgia,Albany
Q4,,21.47,94.14,59.78,49.45,2.20,83.32,74.03,36.87,,
,  December,25.68,94.14,62.94,54.91,9.59,85.46,77.08,37.23,Georgia,Albany
,  March,21.47,94.39,59.78,49.45,2.20,83.32,74.03,36.87,Michigan,Flint
,  May,27.17,99.74,68.49,57.40,18.25,91.01,80.34,47.01,Michigan,Flint
