Characteristic,Intensity,2019_Illinois_Champaign,2019_Illinois_Portland,2022_Oregon_Chicago,2022_Oregon_Redmond,2022_Oregon_Springfield
Humidity,,26.15,13.87,24.17,8.37,18.58
,  11-20,26.15,13.87,14.92,8.37,18.34
,  21-30,24.33,12.86,11.05,6.04,18.58
,  High,22.72,8.01,24.17,0.72,16.11
Temperature,,27.82,13.91,17.25,9.10,21.50
,  31-40,23.39,13.91,13.69,7.33,18.86
,  High,27.82,7.38,17.25,9.10,21.50
,  Low,21.47,11.82,10.91,1.17,17.20
Maximum,,27.82,13.91,24.17,9.10,21.50
,  ,27.82,13.91,24.17,9.10,21.50
