Characteristic,Intensity,2017_Oregon_Champaign,2017_Oregon_Portland,2019_Michigan_Flint,2019_Michigan_Springfield,2021_Illinois_Detroit,2021_Illinois_Salem,Maximum
Humidity,,25.15,20.60,7.49,25.18,13.67,15.94,25.18
,  21-30,25.15,3.82,7.49,6.33,11.09,15.94,25.15
,  Breeze,22.53,20.60,4.95,24.34,13.67,9.93,24.34
,  Low,17.17,17.94,1.14,25.18,9.44,8.68,25.18
Temperature,,26.24,24.83,9.80,27.97,18.88,16.04,27.97
,  31-40,20.67,21.47,6.48,27.97,2.17,12.49,27.97
,  High,21.29,18.24,3.32,22.06,12.75,8.60,22.06
,  Medium,26.24,24.83,9.80,7.83,18.88,16.04,26.24
Wind,,26.93,23.71,8.03,27.06,17.76,16.46,27.06
,  Calm,16.03,20.27,2.54,25.86,14.74,10.67,25.86
,  Low,26.93,23.71,8.03,27.06,17.76,16.46,27.06
,  Medium,18.80,18.21,2.85,20.04,11.05,8.16,20.04
