Polluted element,Type of pollution,Maryland_Baltimore,Maryland_Cambridge,Massachusetts_Columbia,Massachusetts_Lenox,Massachusetts_Rochester,Minnesota_Boston,Minnesota_Hastings
Air,,-47.55,83.28,-13.83,37.14,1.38,66.47,-78.37
,  Solid Waste,-44.01,82.97,-14.45,34.69,1.07,68.48,-78.34
,  Thermal,-48.95,86.79,-11.50,45.99,-94.23,67.26,-75.99
,  Urban Activities,-49.70,80.08,-15.55,30.74,97.31,63.66,-80.78
Soil,,-51.71,83.31,-15.21,33.18,-0.33,63.26,-80.64
,  Chemical,-51.19,84.00,-15.87,35.43,-2.16,64.67,-80.03
,  Industrial,-53.98,80.66,-17.13,28.60,96.21,58.36,-83.59
,  Noise,-49.96,85.28,-12.64,35.52,-95.04,66.74,-78.28
Water,,-52.30,84.32,-18.88,29.40,-2.56,61.44,-81.23
,  Inorganic Fertilizers,-55.75,83.04,-22.48,24.08,93.81,58.05,-83.42
,  Light,-49.40,86.75,-13.39,31.14,-99.54,64.15,-79.05
,  Oxygen-depletion,-51.75,83.16,-20.78,32.98,-1.94,62.11,-81.22
Average,,-50.52,83.64,-15.98,33.24,-0.50,63.72,-80.08
,  ,-50.52,83.64,-15.98,33.24,-0.50,63.72,-80.08
