Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Production,Workshop,Q2,May,California,Malibu,1.6
Production,Workshop,Q1,June,California,Malibu,3.17
Production,Workshop,Q2,April,California,Malibu,17.38
Production,Workshop,Q1,March,California,Malibu,19.38
Production,Workshop,Q2,February,California,Malibu,19.57
Production,Workshop,Q1,May,California,Malibu,24.77
Culture,Factory,Q2,May,California,Malibu,25.42
Culture,Factory,Q1,June,California,Malibu,26.86
Culture,Factory,Q2,April,California,Malibu,29.82
Culture,Factory,Q1,March,California,Malibu,32.13
Culture,Factory,Q2,February,California,Malibu,35.98
Culture,Factory,Q1,May,California,Malibu,37.79
Production,Concert,Q2,May,California,Malibu,37.76
Production,Concert,Q1,June,California,Malibu,44.2
Production,Concert,Q2,April,California,Malibu,45.96
Production,Concert,Q1,March,California,Malibu,47.71
Production,Concert,Q2,February,California,Malibu,50.93
Production,Concert,Q1,May,California,Malibu,51.44
Culture,Museum,Q2,May,California,Malibu,61.21
Culture,Museum,Q1,June,California,Malibu,63.87
Culture,Museum,Q2,April,California,Malibu,81.39
Culture,Museum,Q1,March,California,Malibu,94.2
Culture,Museum,Q2,February,California,Malibu,96.62
Culture,Museum,Q1,May,California,Malibu,98.97
