Polluted element,Type of pollution,Florida_Albany_2015,Florida_Champaign_2021,Florida_Tampa_2021,Georgia_Chicago_2021,Georgia_Fort Lauderdale_2015,Illinois_Columbus_2021,Illinois_Springfield_2015
Air,,-36.16,-19.74,22.55,-73.63,47.25,80.08,-40.93
,  Groundwater,-48.62,-15.88,20.61,-74.19,50.33,81.17,-40.27
,  Inferior Irrigation,97.31,-25.41,15.27,-78.45,39.56,75.21,-47.21
,  Inorganic Fertilizers,-98.91,-26.71,25.45,-73.79,42.19,80.31,-40.76
,  Noise,-94.41,-10.95,28.87,-68.08,56.93,83.61,-35.47
Soil,,-6.49,-18.04,20.48,-75.73,43.22,79.16,-42.92
,  Solid Waste,74.98,-20.83,21.03,-75.72,41.42,79.66,-41.65
,  Surface water,1.78,-17.37,19.14,-74.59,49.43,79.45,-43.45
,  Thermal,-95.54,-11.65,29.59,-71.78,46.73,81.45,-36.88
,  Urban Activities,-7.17,-22.30,12.14,-80.85,35.32,76.09,-49.71
Water,,-0.81,-19.78,18.45,-77.99,40.98,76.68,-43.68
,  Chemical,-2.93,-17.69,17.01,-76.44,48.74,78.44,-45.24
,  Industrial,0.88,-23.29,18.89,-78.81,40.92,74.68,-41.23
,  Light,-97.09,-14.19,28.27,-72.86,41.55,79.56,-38.00
,  Oxygen-depletion,95.91,-23.96,9.61,-83.86,32.70,74.06,-50.23
Average,,-14.48,-19.18,20.49,-75.79,43.82,78.64,-42.51
,  ,-14.48,-19.18,20.49,-75.79,43.82,78.64,-42.51
