Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Workshop,Q3,July,0.83
Production,Workshop,Q2,September,0.61
Production,Workshop,Q1,August,2.74
Production,Workshop,Q3,April,3.48
Production,Workshop,Q2,May,4.17
Production,Workshop,Q1,June,4.97
Production,Workshop,Q3,March,7.71
Production,Workshop,Q2,February,13.25
Production,Workshop,Q1,July,14.59
Culture,Factory,Q3,July,14.81
Culture,Factory,Q2,September,20.25
Culture,Factory,Q1,August,20.57
Culture,Factory,Q3,April,22.01
Culture,Factory,Q2,May,24.92
Culture,Factory,Q1,June,25.67
Culture,Factory,Q3,March,25.91
Culture,Factory,Q2,February,24.18
Culture,Factory,Q1,July,27.6
Residential,Concert,Q3,July,30.4
Residential,Concert,Q2,September,31.2
Residential,Concert,Q1,August,33.83
Residential,Concert,Q3,April,34.42
Residential,Concert,Q2,May,38.12
Residential,Concert,Q1,June,39.36
Residential,Concert,Q3,March,39.44
Residential,Concert,Q2,February,39.38
Residential,Concert,Q1,July,42.17
Production,Theatre,Q3,July,43.09
Production,Theatre,Q2,September,39.48
Production,Theatre,Q1,August,45.35
Production,Theatre,Q3,April,46.91
Production,Theatre,Q2,May,46.87
Production,Theatre,Q1,June,41.06
Production,Theatre,Q3,March,49.62
Production,Theatre,Q2,February,43.68
Production,Theatre,Q1,July,58.42
Culture,Museum,Q3,July,59.1
Culture,Museum,Q2,September,58.55
Culture,Museum,Q1,August,58.27
Culture,Museum,Q3,April,63.76
Culture,Museum,Q2,May,63.3
Culture,Museum,Q1,June,0.22
Culture,Museum,Q3,March,64.27
Culture,Museum,Q2,February,67.86
Culture,Museum,Q1,July,69.0
Residential,Apartment,Q3,July,70.94
Residential,Apartment,Q2,September,69.59
Residential,Apartment,Q1,August,72.11
Residential,Apartment,Q3,April,69.08
Residential,Apartment,Q2,May,74.38
Residential,Apartment,Q1,June,75.31
Residential,Apartment,Q3,March,76.83
Residential,Apartment,Q2,February,77.41
Residential,Apartment,Q1,July,78.16
Production,Hotel,Q3,July,79.56
Production,Hotel,Q2,September,79.35
Production,Hotel,Q1,August,77.44
Production,Hotel,Q3,April,83.19
Production,Hotel,Q2,May,84.8
Production,Hotel,Q1,June,85.58
Production,Hotel,Q3,March,86.98
Production,Hotel,Q2,February,87.51
Production,Hotel,Q1,July,88.42
Culture,House,Q3,July,89.69
Culture,House,Q2,September,92.67
Culture,House,Q1,August,92.8
Culture,House,Q3,April,93.78
Culture,House,Q2,May,95.15
Culture,House,Q1,June,96.98
Culture,House,Q3,March,95.0
Culture,House,Q2,February,99.36
Culture,House,Q1,July,99.07
