Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2017,Meat,Duck,386.41
Import,2017,Cereals,Camel,281.43
Import,2017,Meat,Pork,231.26
Import,2017,Cereals,Soybeans,870.04
Import,2017,Meat,Rice,777.17
Import,2017,Cereals,Oats,778.04
Import,2022,Meat,Duck,362.4
Import,2022,Cereals,Camel,442.98
Import,2022,Meat,Pork,566.69
Import,2022,Cereals,Soybeans,790.18
Import,2022,Meat,Rice,152.42
Import,2022,Cereals,Oats,793.88
Import,2017,Meat,Duck,858.6
Import,2017,Cereals,Camel,923.71
Import,2017,Meat,Pork,700.65
Import,2017,Cereals,Soybeans,317.88
Import,2017,Meat,Rice,382.29
Import,2017,Cereals,Oats,991.28
