Quarter,Month,Culture_Administration,Culture_Concert,Culture_House,Residential_Hospital,Residential_Hotel,Residential_Museum,Service_Apartment,Service_Library,Service_Theatre,Minimum
Q1,,46.47,2.35,73.31,64.25,72.60,33.72,86.33,60.49,21.02,2.35
,  August,54.29,7.09,80.31,71.57,97.00,41.81,91.33,64.93,25.35,7.09
,  February,46.47,2.35,73.31,64.25,98.96,33.72,86.33,60.49,21.02,2.35
,  November,57.19,12.62,79.86,74.04,72.60,43.49,94.10,66.00,29.07,12.62
Q3,,49.88,2.82,75.47,70.24,66.03,35.96,88.70,62.50,22.22,2.82
,  December,55.98,11.44,75.47,73.44,66.03,43.97,92.26,65.70,26.85,11.44
,  February,58.45,20.36,77.89,74.85,73.92,43.64,94.38,67.86,29.69,20.36
,  January,49.88,2.82,76.11,70.24,98.82,35.96,88.70,62.50,22.22,2.82
Q4,,52.16,6.20,77.57,71.37,69.05,39.72,88.84,62.54,22.13,6.20
,  January,59.27,21.66,83.21,76.41,75.77,47.26,97.93,65.72,31.66,21.66
,  October,57.30,12.35,78.85,75.89,69.05,44.28,93.68,65.04,26.29,12.35
,  September,52.16,6.20,77.57,71.37,98.34,39.72,88.84,62.54,22.13,6.20
Minimum,,46.47,2.35,73.31,64.25,66.03,33.72,86.33,60.49,21.02,2.35
,  ,46.47,2.35,73.31,64.25,66.03,33.72,86.33,60.49,21.02,2.35
