Polluted element,Type of pollution,Illinois_Cambridge_2020,Illinois_Chicago_2019,Massachusetts_Boston_2017,Massachusetts_Champaign_2016,Massachusetts_Lenox_2016,Average
Air,Chemical,43.29,-36.43,-61.69,-10.51,27.02,-7.66
,Inorganic Fertilizers,-94.46,-51.17,51.29,-26.04,10.81,-21.91
,Light,-89.41,-43.04,-67.57,-25.95,20.20,-41.15
Soil,Surface water,-89.29,92.93,-61.07,-14.25,25.53,-9.23
,Thermal,34.02,84.78,61.06,-24.58,15.77,34.21
,Urban Activities,33.55,-56.49,-81.36,-32.71,7.31,-25.94
Water,Groundwater,39.66,90.62,-66.97,-18.66,24.06,13.74
,Noise,-95.91,-50.23,60.62,-25.48,10.61,-20.08
,Urban Activities,44.61,92.65,71.38,-1.82,27.64,46.89
Average,,-19.33,13.74,-10.48,-20.00,18.77,-3.46
