Polluted element,Type of pollution,California_Baltimore_2017,California_San Francisco_2017,Maryland_Columbia_2021,Maryland_Los-Angeles_2021
Air,,6.38,16.96,19.22,-38.72
,  Industrial,57.35,-9.52,35.96,-9.00
,  Solid Waste,-88.68,91.77,6.33,-57.62
,  Surface water,50.46,-31.36,15.38,-49.55
Soil,,45.71,56.79,10.58,33.05
,  Industrial,37.24,89.06,1.86,66.65
,  Oxygen-depletion,53.57,-11.97,17.87,-45.30
,  Thermal,46.31,93.28,12.00,77.79
Water,,-30.53,-24.43,20.61,-4.92
,  Chemical,53.52,-29.75,16.81,-46.38
,  Noise,-82.03,-36.02,8.30,-56.11
,  Solid Waste,-63.09,-7.51,36.71,87.73
