Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Temperature,31-40,1.83
2015,Humidity,0-10,2.35
2015,Wind,21-30,5.7
2015,Temperature,High,5.41
2015,Humidity,Low,5.15
2015,Wind,Medium,8.73
2015,Temperature,Storm,8.59
2015,Humidity,Calm,11.58
2015,Wind,31-40,12.87
2016,Temperature,31-40,13.61
2016,Humidity,0-10,14.31
2016,Wind,21-30,14.91
2016,Temperature,High,16.49
2016,Humidity,Low,18.44
2016,Wind,Medium,18.87
2016,Temperature,Storm,21.54
2016,Humidity,Calm,21.32
2016,Wind,31-40,22.76
