State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Michigan,Detroit,Air,Light,2.35
Michigan,Detroit,Soil,Thermal,4.14
Michigan,Detroit,Air,Noise,15.69
Michigan,Detroit,Soil,Solid Waste,19.42
Michigan,Detroit,Air,Industrial,27.28
Michigan,Detroit,Soil,Inferior Irrigation,28.29
Michigan,Detroit,Air,Urban Activities,-99.39
Michigan,Detroit,Soil,Light,-89.54
Florida,Flint,Air,Light,-88.04
Florida,Flint,Soil,Thermal,-89.87
Florida,Flint,Air,Noise,55.34
Florida,Flint,Soil,Solid Waste,60.23
Florida,Flint,Air,Industrial,-66.49
Florida,Flint,Soil,Inferior Irrigation,-66.82
Florida,Flint,Air,Urban Activities,-65.39
Florida,Flint,Soil,Light,-61.75
Michigan,Tampa,Air,Light,-58.85
Michigan,Tampa,Soil,Thermal,71.99
Michigan,Tampa,Air,Noise,76.95
Michigan,Tampa,Soil,Solid Waste,77.86
Michigan,Tampa,Air,Industrial,77.08
Michigan,Tampa,Soil,Inferior Irrigation,79.15
Michigan,Tampa,Air,Urban Activities,78.96
Michigan,Tampa,Soil,Light,83.9
Florida,Fort Lauderdale,Air,Light,88.14
Florida,Fort Lauderdale,Soil,Thermal,-39.52
Florida,Fort Lauderdale,Air,Noise,-28.07
Florida,Fort Lauderdale,Soil,Solid Waste,-27.05
Florida,Fort Lauderdale,Air,Industrial,-20.35
Florida,Fort Lauderdale,Soil,Inferior Irrigation,-19.96
Florida,Fort Lauderdale,Air,Urban Activities,-19.09
Florida,Fort Lauderdale,Soil,Light,-3.66
