State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Florida,Fort Lauderdale,Soil,Urban Activities,2.61
Florida,Fort Lauderdale,Air,Inferior Irrigation,3.5
Florida,Fort Lauderdale,Water,Solid Waste,5.44
Florida,Fort Lauderdale,Soil,Thermal,5.13
Florida,Fort Lauderdale,Air,Noise,7.28
Florida,Fort Lauderdale,Water,Light,6.07
Florida,Fort Lauderdale,Soil,Chemical,10.43
Florida,Fort Lauderdale,Air,Groundwater,12.68
Florida,Fort Lauderdale,Water,Oxygen-depletion,15.68
Florida,Fort Lauderdale,Soil,Surface water,20.3
Florida,Fort Lauderdale,Air,Urban Activities,21.02
Florida,Fort Lauderdale,Water,Inferior Irrigation,25.19
Minnesota,Tampa,Soil,Urban Activities,27.76
Minnesota,Tampa,Air,Inferior Irrigation,29.65
Minnesota,Tampa,Water,Solid Waste,-94.74
Minnesota,Tampa,Soil,Thermal,36.07
Minnesota,Tampa,Air,Noise,-90.99
Minnesota,Tampa,Water,Light,38.17
Minnesota,Tampa,Soil,Chemical,-88.64
Minnesota,Tampa,Air,Groundwater,-82.22
Minnesota,Tampa,Water,Oxygen-depletion,49.66
Minnesota,Tampa,Soil,Surface water,-78.82
Minnesota,Tampa,Air,Urban Activities,-76.28
Minnesota,Tampa,Water,Inferior Irrigation,-74.45
Florida,Rochester,Soil,Urban Activities,55.68
Florida,Rochester,Air,Inferior Irrigation,56.02
Florida,Rochester,Water,Solid Waste,-70.66
Florida,Rochester,Soil,Thermal,-70.86
Florida,Rochester,Air,Noise,68.98
Florida,Rochester,Water,Light,69.84
Florida,Rochester,Soil,Chemical,-54.75
Florida,Rochester,Air,Groundwater,77.03
Florida,Rochester,Water,Oxygen-depletion,-51.39
Florida,Rochester,Soil,Surface water,-49.37
Florida,Rochester,Air,Urban Activities,-49.2
Florida,Rochester,Water,Inferior Irrigation,81.65
Minnesota,Hastings,Soil,Urban Activities,-38.76
Minnesota,Hastings,Air,Inferior Irrigation,93.14
Minnesota,Hastings,Water,Solid Waste,-32.18
Minnesota,Hastings,Soil,Thermal,97.98
Minnesota,Hastings,Air,Noise,-28.13
Minnesota,Hastings,Water,Light,-25.83
Minnesota,Hastings,Soil,Chemical,-20.09
Minnesota,Hastings,Air,Groundwater,-19.07
Minnesota,Hastings,Water,Oxygen-depletion,-20.82
Minnesota,Hastings,Soil,Surface water,-12.59
Minnesota,Hastings,Air,Urban Activities,-9.52
Minnesota,Hastings,Water,Inferior Irrigation,-5.59
