State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
Minnesota,Minneapolis,2016,Water,Oxygen-depletion,1.22
Minnesota,Minneapolis,2016,Air,Groundwater,3.78
Minnesota,Minneapolis,2016,Soil,Surface water,4.86
Minnesota,Minneapolis,2016,Water,Chemical,3.07
Minnesota,Minneapolis,2016,Air,Light,7.25
Minnesota,Minneapolis,2016,Soil,Noise,8.54
Minnesota,Minneapolis,2016,Water,Thermal,7.36
Minnesota,Minneapolis,2016,Air,Solid Waste,10.14
Minnesota,Minneapolis,2016,Soil,Inferior Irrigation,11.28
Minnesota,Minneapolis,2016,Water,Oxygen-depletion,10.02
Minnesota,Minneapolis,2016,Air,Groundwater,14.19
Minnesota,Minneapolis,2016,Soil,Surface water,14.36
Oregon,Hastings,2020,Water,Oxygen-depletion,16.31
Oregon,Hastings,2020,Air,Groundwater,18.3
Oregon,Hastings,2020,Soil,Surface water,18.48
Oregon,Hastings,2020,Water,Chemical,23.71
Oregon,Hastings,2020,Air,Light,25.16
Oregon,Hastings,2020,Soil,Noise,25.9
Oregon,Hastings,2020,Water,Thermal,28.54
Oregon,Hastings,2020,Air,Solid Waste,29.45
Oregon,Hastings,2020,Soil,Inferior Irrigation,30.82
Oregon,Hastings,2020,Water,Oxygen-depletion,30.47
Oregon,Hastings,2020,Air,Groundwater,32.05
Oregon,Hastings,2020,Soil,Surface water,32.62
Georgia,Rochester,2019,Water,Oxygen-depletion,36.91
Georgia,Rochester,2019,Air,Groundwater,37.89
Georgia,Rochester,2019,Soil,Surface water,40.33
Georgia,Rochester,2019,Water,Chemical,44.95
Georgia,Rochester,2019,Air,Light,46.62
Georgia,Rochester,2019,Soil,Noise,47.65
Georgia,Rochester,2019,Water,Thermal,48.97
Georgia,Rochester,2019,Air,Solid Waste,53.98
Georgia,Rochester,2019,Soil,Inferior Irrigation,54.06
Georgia,Rochester,2019,Water,Oxygen-depletion,55.5
Georgia,Rochester,2019,Air,Groundwater,56.18
Georgia,Rochester,2019,Soil,Surface water,57.78
Minnesota,Redmond,2016,Water,Oxygen-depletion,61.49
Minnesota,Redmond,2016,Air,Groundwater,64.83
Minnesota,Redmond,2016,Soil,Surface water,65.55
Minnesota,Redmond,2016,Water,Chemical,65.63
Minnesota,Redmond,2016,Air,Light,67.9
Minnesota,Redmond,2016,Soil,Noise,73.81
Minnesota,Redmond,2016,Water,Thermal,75.52
Minnesota,Redmond,2016,Air,Solid Waste,-9.28
Minnesota,Redmond,2016,Soil,Inferior Irrigation,84.0
Minnesota,Redmond,2016,Water,Oxygen-depletion,89.88
