Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Culture,Concert,Q3,July,2.01
Culture,Concert,Q1,September,9.75
Culture,Concert,Q3,August,10.13
Culture,Concert,Q1,January,12.13
Culture,Concert,Q3,February,12.46
Culture,Concert,Q1,March,15.47
Residential,Theatre,Q3,July,16.07
Residential,Theatre,Q1,September,22.59
Residential,Theatre,Q3,August,23.02
Residential,Theatre,Q1,January,30.51
Residential,Theatre,Q3,February,31.34
Residential,Theatre,Q1,March,40.93
Culture,Museum,Q3,July,41.46
Culture,Museum,Q1,September,47.44
Culture,Museum,Q3,August,47.58
Culture,Museum,Q1,January,49.4
Culture,Museum,Q3,February,49.51
Culture,Museum,Q1,March,51.87
Residential,Hotel,Q3,July,50.52
Residential,Hotel,Q1,September,57.17
Residential,Hotel,Q3,August,65.21
Residential,Hotel,Q1,January,70.13
Residential,Hotel,Q3,February,70.54
Residential,Hotel,Q1,March,73.01
Culture,Apartment,Q3,July,74.19
Culture,Apartment,Q1,September,75.63
Culture,Apartment,Q3,August,90.73
Culture,Apartment,Q1,January,90.47
Culture,Apartment,Q3,February,90.01
Culture,Apartment,Q1,March,91.46
Residential,House,Q3,July,90.2
Residential,House,Q1,September,95.04
Residential,House,Q3,August,95.13
Residential,House,Q1,January,97.39
Residential,House,Q3,February,97.42
Residential,House,Q1,March,93.72
