Polluted element,Type of pollution,Michigan_Detroit_2017,Michigan_Flint_2019,Michigan_Salem_2016,Oregon_Port Huron_2016,Oregon_Portland_2019,Oregon_Redmond_2017,Average
Air,,11.22,54.57,-39.44,-3.65,-11.13,32.17,7.29
,  Industrial,17.21,65.70,-33.58,-82.22,-4.49,81.38,7.33
,  Light,6.01,45.24,-44.19,28.17,-25.74,-58.91,-8.24
,  Oxygen-depletion,10.44,52.76,-40.56,43.10,-3.17,74.04,22.77
Soil,,17.40,15.27,50.85,-1.13,-11.12,36.18,17.91
,  Groundwater,17.89,-71.62,94.75,43.68,-12.61,-49.54,3.76
,  Inorganic Fertilizers,25.65,69.32,98.61,-82.88,-1.01,83.86,32.26
,  Thermal,8.67,48.11,-40.81,35.81,-19.74,74.23,17.71
Water,,16.69,15.31,47.48,-45.91,-13.65,34.16,9.01
,  Chemical,17.99,56.69,93.57,-84.80,-13.09,-50.36,3.33
,  Noise,7.96,-78.63,82.49,32.84,-24.39,69.86,15.02
,  Solid Waste,24.11,67.87,-33.61,-85.77,-3.48,82.99,8.69
Average,,15.10,28.38,19.63,-16.90,-11.97,34.17,11.40
,  ,15.10,28.38,19.63,-16.90,-11.97,34.17,11.40
