Quarter,Month,Residential_Apartment,Residential_Hospital,Residential_Library,Service_Hotel,Service_School
Q1,,8.88,86.42,41.93,22.08,60.79
,  February,16.85,90.04,50.97,31.94,70.46
,  July,17.13,99.71,56.62,34.36,75.41
,  June,8.88,86.42,41.93,22.08,60.79
Q2,,4.36,84.88,36.79,18.53,57.95
,  January,9.79,88.86,44.12,28.15,68.36
,  July,4.36,84.88,36.79,18.53,57.95
,  September,18.91,97.93,55.06,33.47,74.32
Q3,,0.12,74.17,34.43,20.67,57.35
,  March,17.31,90.52,51.99,32.05,74.60
,  May,8.68,87.43,43.78,23.42,60.71
,  September,0.12,74.17,34.43,20.67,57.35
Minimum,,0.12,74.17,34.43,18.53,57.35
,  ,0.12,74.17,34.43,18.53,57.35
