Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Workshop,Q2,June,11.07
Production,Workshop,Q3,April,16.4
Production,Workshop,Q2,May,18.32
Production,Workshop,Q3,July,19.58
Production,Workshop,Q2,September,24.68
Production,Workshop,Q3,June,24.1
Service,Factory,Q2,June,32.94
Service,Factory,Q3,April,35.23
Service,Factory,Q2,May,35.62
Service,Factory,Q3,July,40.18
Service,Factory,Q2,September,43.42
Service,Factory,Q3,June,45.99
Production,Hospital,Q2,June,50.5
Production,Hospital,Q3,April,50.0
Production,Hospital,Q2,May,53.46
Production,Hospital,Q3,July,57.52
Production,Hospital,Q2,September,57.41
Production,Hospital,Q3,June,59.77
Service,School,Q2,June,66.23
Service,School,Q3,April,69.81
Service,School,Q2,May,72.96
Service,School,Q3,July,72.17
Service,School,Q2,September,74.62
Service,School,Q3,June,76.92
Production,Administration,Q2,June,77.85
Production,Administration,Q3,April,78.33
Production,Administration,Q2,May,79.28
Production,Administration,Q3,July,83.69
Production,Administration,Q2,September,87.63
Production,Administration,Q3,June,94.66
