Polluted element,Type of pollution,Florida_Albany_2019,Florida_Columbus_2019,Florida_Fort Lauderdale_2019,Georgia_Tampa_2017,Georgia_Washington_2017
Air,,-19.48,-20.25,-13.71,48.53,-35.85
,  Groundwater,-7.01,-54.56,38.57,53.42,-30.84
,  Surface water,-30.44,57.44,17.92,43.54,-43.74
,  Thermal,-20.99,-63.63,-97.62,48.62,-32.98
Water,,20.23,20.19,-22.06,2.84,2.28
,  Chemical,-26.71,64.95,22.02,-86.96,-33.82
,  Groundwater,99.17,-73.55,3.96,42.97,74.24
,  Noise,-11.76,69.16,-92.15,52.52,-33.58
Average,,0.38,-0.03,-17.88,25.69,-16.79
,  ,0.38,-0.03,-17.88,25.69,-16.79
