Polluted element,Type of pollution,California_Los-Angeles,California_Salem,Florida_Fort Lauderdale,Florida_Redmond,Oregon_Malibu,Oregon_Tampa,Average
Air,,-17.39,-5.43,8.27,6.80,-18.01,1.49,-4.05
,  Solid Waste,-13.50,61.96,34.19,-55.90,-37.74,46.65,5.94
,  Thermal,-21.13,-6.73,-40.44,8.48,25.52,43.19,1.48
,  Urban Activities,-17.55,-71.51,31.07,67.82,-41.82,-85.37,-19.56
Soil,,-13.65,38.30,-9.35,-13.33,48.64,2.93,8.92
,  Industrial,-13.23,61.85,-93.54,-54.50,91.35,45.78,6.28
,  Inorganic Fertilizers,-14.93,58.45,32.48,-58.25,-37.70,-83.11,-17.18
,  Noise,-12.79,-5.41,33.01,72.77,92.26,46.13,37.66
Average,,-15.52,16.43,-0.54,-3.26,15.31,2.21,2.44
,  ,-15.52,16.43,-0.54,-3.26,15.31,2.21,2.44
