Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Wind,Breeze,3.72
2015,Temperature,Calm,26.54
2015,Humidity,Storm,5.33
2015,Wind,31-40,5.87
2015,Temperature,0-10,7.3
2015,Humidity,Medium,8.32
2015,Wind,Low,12.91
2015,Temperature,High,12.69
2015,Humidity,Breeze,14.21
2018,Wind,Breeze,25.62
2018,Temperature,Calm,20.43
2018,Humidity,Storm,20.54
2018,Wind,31-40,22.97
2018,Temperature,0-10,24.19
2018,Humidity,Medium,24.31
2018,Wind,Low,26.89
2018,Temperature,High,27.56
2018,Humidity,Breeze,25.2
