Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Humidity,High,1.4
2015,Wind,Low,3.83
2015,Temperature,Medium,4.81
2015,Humidity,Breeze,6.4
2015,Wind,Calm,7.3
2015,Temperature,Storm,7.04
2015,Humidity,21-30,6.0
2015,Wind,0-10,6.29
2015,Temperature,High,11.09
2017,Humidity,High,13.75
2017,Wind,Low,14.54
2017,Temperature,Medium,15.78
2017,Humidity,Breeze,15.08
2017,Wind,Calm,16.68
2017,Temperature,Storm,18.19
2017,Humidity,21-30,19.27
2017,Wind,0-10,20.1
2017,Temperature,High,20.59
2020,Humidity,High,21.69
2020,Wind,Low,21.51
2020,Temperature,Medium,24.29
2020,Humidity,Breeze,24.68
2020,Wind,Calm,26.14
2020,Temperature,Storm,27.07
2020,Humidity,21-30,24.44
2020,Wind,0-10,22.01
2020,Temperature,High,14.63
